City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Port Elizabeth,20,ZA,1635600722,64,-33,25,75,20
Dvinskoy Bereznik,100,RU,1635600781,100,62,42,38,3
Chipinge,0,ZW,1635600781,21,-20,32,88,3
Saint Paul Harbor,100,US,1635600643,95,57,-152,44,29
Korčula,0,HR,1635600783,51,42,17,70,3
Carnaíba,0,BR,1635600784,31,-8,-37,89,10
Thompson,75,CA,1635600784,93,55,-97,26,3
Lüderitz,0,NA,1635600785,54,-26,15,72,14
Cape Town,0,ZA,1635600651,51,-33,18,73,5
Hermanus,8,ZA,1635600786,68,-34,19,75,13
Kaitangata,83,NZ,1635600750,79,-46,169,53,4
Kaoma,97,ZM,1635600787,28,-14,24,88,10
Ushuaia,0,AR,1635600787,49,-54,-68,46,19
Bredasdorp,41,ZA,1635600788,64,-34,20,75,6
Nikolskoye,63,RU,1635600666,87,59,30,48,5
Puri,28,IN,1635600789,74,19,85,82,10
Bluff,5,NZ,1635600789,59,-46,168,54,17
Alappuzha,100,IN,1635600790,85,9,76,79,5
Torbay,20,CA,1635600791,69,47,-52,48,11
Vaini,20,TO,1635600791,88,-21,-175,73,4
Port Alfred,0,ZA,1635600792,70,-33,26,69,20
Bethel,90,US,1635600792,95,41,-73,60,9
Bilibino,100,RU,1635600793,97,68,166,-10,1
Punta Arenas,0,CL,1635600748,53,-53,-70,46,19
Salalah,20,OM,1635600531,65,17,54,84,9
Airai,99,TL,1635600794,89,-8,125,64,0
Alta Floresta,75,BR,1635600794,74,-9,-56,82,6
Mezhdurechensk,100,RU,1635600795,97,53,88,34,6
Sabang,100,ID,1635600795,74,5,95,81,3
New Norfolk,96,AU,1635600796,58,-42,147,50,5
Omsukchan,100,RU,1635600797,98,62,155,0,4
Cody,90,US,1635600797,79,44,-109,39,14
Pevek,100,RU,1635600798,94,69,170,0,5
Sitka,90,US,1635600788,76,57,-135,44,8
Tāybād,45,IR,1635600799,24,34,60,66,6
Chioggia,43,IT,1635600800,70,45,12,67,5
Kruisfontein,5,ZA,1635600801,60,-34,24,72,16
Mujiayingzi,100,CN,1635600801,78,42,118,41,13
Inhambane,87,MZ,1635600698,62,-23,35,74,15
Barrow,90,US,1635600802,79,71,-156,12,4
Butaritari,90,KI,1635600803,78,3,172,81,9
Mar del Plata,0,AR,1635600803,84,-38,-57,73,10
Avarua,100,CK,1635600532,68,-21,-159,71,11
Locri,100,IT,1635600804,87,38,16,68,6
Bungoma,100,KE,1635600804,83,0,34,67,5
Clyde River,90,CA,1635600805,100,70,-68,30,14
